gameId,homeTeamId,awayTeamId,homeTeamName,awayTeamName,homeTeamAbbr,awayTeamAbbr,leagueName,leagueAbbr,homeTeamScore,awayTeamScore,attendance,venueId,fullName,city,country,fecha,referee,stage,phase,leaguePhase,is_national,is_international,home_country,away_country,home_city,away_city,home_local,away_local,day,month,year,hour,day_week,stadium_max,modpred
760414,451.0,450.0,South Korea,Czechia,KOR,PPD,FIFA World Cup,FIFA World Cup,0.0,0.0,,5009.0,Estadio Akron,Guadalajara,Mexico,2026-06-12 02:00:00+00:00,,"2026 FIFA World Cup, Group Stage",Stage,FIFA World CupStage,True,True,South Korea,Czechia,,,0,0,12,6,2026,2,Friday,46232.0,41783.0
760415,203.0,467.0,Mexico,South Africa,MEX,RSA,FIFA World Cup,FIFA World Cup,0.0,0.0,,1672.0,Estadio Banorte,Mexico City,Mexico,2026-06-11 19:00:00+00:00,,"2026 FIFA World Cup, Group Stage",Stage,FIFA World CupStage,True,True,Mexico,South Africa,,,1,0,11,6,2026,19,Thursday,87000.0,73508.0
760416,206.0,452.0,Canada,Bosnia and Herzegovina,CAN,PPA,FIFA World Cup,FIFA World Cup,0.0,0.0,,10143.0,BMO Field,Toronto,Canada,2026-06-12 19:00:00+00:00,,"2026 FIFA World Cup, Group Stage",Stage,FIFA World CupStage,True,True,Canada,Bosnia and Herzegovina,,,1,0,12,6,2026,19,Friday,45000.0,40174.0
760417,660.0,210.0,United States,Paraguay,USA,PAR,FIFA World Cup,FIFA World Cup,0.0,0.0,,9115.0,SoFi Stadium,Inglewood,United States,2026-06-13 01:00:00+00:00,,"2026 FIFA World Cup, Group Stage",Stage,FIFA World CupStage,True,True,United States,Paraguay,,,1,0,13,6,2026,1,Saturday,72963.0,70378.0
760418,2654.0,580.0,Haiti,Scotland,HAI,SCO,FIFA World Cup,FIFA World Cup,0.0,0.0,,3879.0,Gillette Stadium,Foxborough,United States,2026-06-14 01:00:00+00:00,,"2026 FIFA World Cup, Group Stage",Stage,FIFA World CupStage,True,True,Haiti,Scotland,,,0,0,14,6,2026,1,Sunday,65612.0,47968.0
760419,205.0,2869.0,Brazil,Morocco,BRA,MAR,FIFA World Cup,FIFA World Cup,0.0,0.0,,4727.0,MetLife Stadium,East Rutherford,United States,2026-06-13 22:00:00+00:00,,"2026 FIFA World Cup, Group Stage",Stage,FIFA World CupStage,True,True,Brazil,Morocco,,,0,0,13,6,2026,22,Saturday,82262.0,79793.0
760420,4398.0,475.0,Qatar,Switzerland,QAT,SUI,FIFA World Cup,FIFA World Cup,0.0,0.0,,5960.0,Levi's Stadium,Santa Clara,United States,2026-06-13 19:00:00+00:00,,"2026 FIFA World Cup, Group Stage",Stage,FIFA World CupStage,True,True,Qatar,Switzerland,,,0,0,13,6,2026,19,Saturday,70975.0,60043.0
760421,628.0,465.0,Australia,Türkiye,AUS,PPC,FIFA World Cup,FIFA World Cup,0.0,0.0,,4370.0,BC Place,Vancouver,Canada,2026-06-14 04:00:00+00:00,,"2026 FIFA World Cup, Group Stage",Stage,FIFA World CupStage,True,True,Australia,Türkiye,,,0,0,14,6,2026,4,Sunday,53957.0,47525.0
760422,481.0,11678.0,Germany,Curacao,GER,CUR,FIFA World Cup,FIFA World Cup,0.0,0.0,,6262.0,NRG Stadium,Houston,United States,2026-06-14 17:00:00+00:00,,"2026 FIFA World Cup, Group Stage",Stage,FIFA World CupStage,True,True,Germany,Curacao,,,0,0,14,6,2026,17,Sunday,70925.0,65298.0
760423,4789.0,209.0,Ivory Coast,Ecuador,CIV,ECU,FIFA World Cup,FIFA World Cup,0.0,0.0,,1421.0,Lincoln Financial Field,Philadelphia,United States,2026-06-14 23:00:00+00:00,,"2026 FIFA World Cup, Group Stage",Stage,FIFA World CupStage,True,True,Ivory Coast,Ecuador,,,0,0,14,6,2026,23,Sunday,69879.0,56684.0
